11n88,"[2/3, -3/5, -1/4]"
11n89,"[2/3, 3/5, -1/4]"
11n90,"[2/3, -3/5, -3/4]"
11n91,"[2/3, 3/5, -3/4]"
11n100,"[2/3, -2/3, 5/7]"
11n101,"[2/3, 2/3, -5/7]"
11n102,"[2/3, -1/3, -2/7]"
11n103,"[2/3, 3/5, -2/5]"
11n104,"[2/3, -1/3, -3/8]"
11n105,"[2/3, 2/3, -3/8]"
11n106,"[2/3, -2/3, 3/8]"
11n107,"[2/3, -1/3, -5/8]"
11n122,"[2/3, -2/3, 3/7]"
11n137,"[2/3, 2/3, -3/7]"
11n138,"[2/3, -1/3, -4/7]"
11n139,"[2/3, -2/3, 1/5]"
11n140,"[2/3, 2/3, -1/5]"
11n141,"[2/3, -1/3, -4/5]"
12a3,"[1/2, 3/5, 7/9]"
12a9,"[1/2, 3/5, 2/9]"
12a12,"[1/2, 3/5, 9/7]"
12a16,"[1/2, 3/5, 8/11]"
12a17,"[1/2, 3/5, 8/13]"
12a18,"[1/2, 3/5, 3/11]"
12a19,"[1/2, 3/5, 7/11]"
12a20,"[1/2, 3/5, 5/13]"
12a21,"[1/2, 3/5, 12/7]"
12a22,"[1/2, 3/5, 5/9]"
12a24,"[1/2, 3/5, 4/11]"
12a25,"[1/2, 3/5, 13/5]"
12a26,"[1/2, 3/5, 9/5]"
12a27,"[1/2, 3/5, 11/7]"
12a28,"[1/2, 3/5, 12/5]"
12a29,"[1/2, 2/3, 2/3, 3/5]"
12a30,"[1/2, 1/3, 2/3, 3/5]"
12a31,"[1/2, 3/5, 4/9]"
12a32,"[1/2, 2/3, 18/5]"
12a33,"[1/2, 2/3, 1/3, 3/5]"
12a34,"[1/2, 3/5, 6/5]"
12a35,"[1/2, 3/5, 10/7]"
12a36,"[1/2, 1/3, 1/3, 3/5]"
12a37,"[1/2, 1/3, 18/5]"
12a42,"[1/2, 2/3, 9/11]"
12a56,"[1/2, 2/3, 2/11]"
12a62,"[1/2, 2/3, 11/9]"
12a77,"[1/2, 2/3, 13/21]"
12a78,"[1/2, 2/3, 5/17]"
12a81,"[1/2, 2/3, 16/9]"
12a82,"[1/2, 2/3, 12/17]"
12a83,"[1/2, 2/3, 12/19]"
12a84,"[1/2, 2/3, 11/19]"
12a85,"[1/2, 2/3, 9/13]"
12a86,"[1/2, 2/3, 11/15]"
12a87,"[1/2, 2/3, 7/19]"
12a95,"[1/2, 2/3, 8/21]"
12a96,"[1/2, 2/3, 4/13]"
12a97,"[1/2, 2/3, 4/15]"
12a98,"[1/2, 2/3, 19/11]"
12a99,"[1/2, 2/3, 21/13]"
12a104,"[1/2, 2/3, 19/7]"
12a106,"[1/2, 2/3, 16/7]"
12a110,"[1/2, 2/3, 8/19]"
12a112,"[1/2, 2/3, 15/11]"
12a113,"[1/2, 2/3, 3/5, 2/3]"
12a114,"[1/2, 2/3, 2/5, 2/3]"
12a116,"[1/2, 2/3, 2/5, 1/3]"
12a117,"[1/2, 2/3, 2/3, 2/5]"
12a118,"[1/2, 2/3, 17/5]"
12a119,"[1/2, 2/3, 2/3, 5/3]"
12a121,"[1/2, 2/3, 13/9]"
12a122,"[1/2, 2/3, 1/3, 2/5]"
12a124,"[1/2, 2/5, 7/9]"
12a128,"[1/2, 2/5, 2/9]"
12a130,"[1/2, 2/5, 9/7]"
12a141,"[1/2, 2/3, 14/11]"
12a142,"[1/2, 2/3, 18/11]"
12a143,"[1/2, 2/3, 6/7]"
12a144,"[1/2, 2/3, 10/13]"
12a145,"[1/2, 2/3, 10/17]"
12a146,"[1/2, 2/3, 1/7]"
12a147,"[1/2, 2/3, 3/13]"
12a148,"[1/2, 2/3, 7/17]"
12a149,"[1/2, 2/3, 18/13]"
12a151,"[1/2, 2/3, 14/9]"
12a152,"[1/2, 2/3, 6/11]"
12a153,"[1/2, 2/3, 5/11]"
12a157,"[1/2, 2/3, 3/5, 1/3]"
12a158,"[1/2, 2/3, 14/5]"
12a159,"[1/2, 2/3, 18/7]"
12a160,"[1/2, 2/3, 11/5]"
12a161,"[1/2, 2/3, 17/7]"
12a164,"[1/2, 2/3, 2/3, 4/3]"
12a165,"[1/2, 2/3, 14/3]"
12a166,"[1/2, 2/3, 1/3, 5/3]"
12a167,"[1/2, 2/3, 1/3, 4/3]"
12a168,"[1/2, 2/3, 13/3]"
12a170,"[1/2, 2/5, 8/11]"
12a171,"[1/2, 2/5, 8/13]"
12a172,"[1/2, 2/5, 3/11]"
12a173,"[1/2, 2/5, 7/11]"
12a174,"[1/2, 2/5, 5/13]"
12a175,"[1/2, 2/5, 12/7]"
12a176,"[1/2, 2/5, 5/9]"
12a178,"[1/2, 2/5, 4/11]"
12a179,"[1/2, 2/5, 9/5]"
12a180,"[1/2, 2/5, 11/7]"
12a181,"[1/2, 2/5, 12/5]"
12a182,"[1/2, 1/3, 2/3, 2/5]"
12a183,"[1/2, 2/5, 4/9]"
12a193,"[1/2, 2/5, 6/5]"
12a194,"[1/2, 2/5, 10/7]"
12a195,"[1/2, 1/3, 1/3, 2/5]"
12a196,"[1/2, 1/3, 17/5]"
12a203,"[1/2, 1/3, 13/21]"
12a205,"[1/2, 1/3, 14/11]"
12a208,"[2/3, 2/3, 9/7]"
12a210,"[1/2, 5/7, 5/7]"
12a212,"[1/2, 5/7, 2/7]"
12a215,"[3/5, 3/5, 3/4]"
12a216,"[3/5, 2/5, 1/4]"
12a217,"[2/3, 3/5, 3/8]"
12a218,"[3/5, 2/5, 3/4]"
12a219,"[2/3, 3/5, 7/4]"
12a220,"[1/3, 3/5, 5/8]"
12a225,"[2/3, 3/5, 5/8]"
12a229,"[2/3, 2/3, 5/13]"
12a232,"[2/3, 2/5, 7/5]"
12a234,"[1/2, 5/7, 4/5]"
12a235,"[1/2, 5/7, 4/7]"
12a236,"[1/2, 5/7, 1/5]"
12a237,"[1/2, 5/7, 3/7]"
12a238,"[1/2, 1/3, 19/7]"
12a240,"[1/2, 1/3, 18/13]"
12a242,"[1/2, 1/3, 21/13]"
12a246,"[1/2, 1/3, 8/21]"
12a248,"[3/5, 3/5, 1/4]"
12a249,"[2/3, 3/5, 5/4]"
12a250,"[1/3, 3/5, 3/8]"
12a252,"[1/3, 3/5, 5/4]"
12a253,"[1/3, 3/5, 7/4]"
12a258,"[1/2, 1/3, 19/11]"
12a263,"[2/3, 2/5, 5/8]"
12a270,"[2/3, 1/3, 2/9]"
12a272,"[2/3, 3/5, 2/7]"
12a274,"[2/3, 1/4, 5/7]"
12a275,"[2/3, 3/4, 5/7]"
12a277,"[2/3, 3/4, 2/7]"
12a278,"[2/3, 2/5, 5/4]"
12a279,"[2/3, 2/5, 7/4]"
12a280,"[2/3, 2/3, 11/8]"
12a281,"[2/3, 2/3, 13/8]"
12a295,"[2/3, 2/3, 7/12]"
12a297,"[2/3, 1/3, 5/12]"
12a298,"[2/3, 1/3, 7/12]"
12a299,"[1/2, 1/3, 11/19]"
12a304,"[1/2, 1/3, 7/19]"
12a305,"[1/2, 1/3, 12/19]"
12a327,"[3/5, 2/5, 2/5]"
12a329,"[1/2, 1/3, 16/9]"
12a332,"[2/3, 2/3, 7/9]"
12a338,"[2/3, 2/5, 5/7]"
12a345,"[1/2, 2/7, 2/7]"
12a356,"[2/3, 1/4, 2/7]"
12a357,"[2/3, 2/5, 3/8]"
12a367,"[2/3, 3/4, 4/5]"
12a368,"[2/3, 3/4, 4/7]"
12a369,"[2/3, 1/4, 1/5]"
12a370,"[2/3, 1/4, 3/7]"
12a371,"[2/3, 3/4, 1/5]"
12a372,"[2/3, 3/4, 3/7]"
12a373,"[2/3, 2/3, 11/4]"
12a374,"[2/3, 1/3, 13/8]"
12a375,"[2/3, 1/3, 9/4]"
12a376,"[2/3, 1/3, 11/4]"
12a381,"[2/5, 2/5, 3/4]"
12a382,"[1/3, 2/5, 3/8]"
12a383,"[1/3, 2/5, 5/8]"
12a401,"[2/3, 2/3, 3/11]"
12a420,"[1/2, 2/7, 4/5]"
12a421,"[1/2, 2/7, 4/7]"
12a422,"[1/2, 2/7, 1/5]"
12a423,"[1/2, 2/7, 3/7]"
12a424,"[1/2, 1/3, 16/7]"
12a433,"[2/3, 2/3, 5/12]"
12a436,"[1/2, 1/3, 8/19]"
12a442,"[2/3, 1/4, 4/5]"
12a443,"[2/3, 1/4, 4/7]"
12a444,"[2/3, 2/3, 9/4]"
12a445,"[2/3, 1/3, 11/8]"
12a448,"[2/5, 2/5, 1/4]"
12a453,"[1/3, 2/5, 7/4]"
12a463,"[1/2, 1/3, 11/9]"
12a481,"[1/3, 2/5, 5/4]"
12a503,"[2/3, 2/3, 11/3]"
12a504,"[2/3, 1/3, 12/5]"
12a505,"[2/3, 2/3, 11/7]"
12a507,"[1/2, 1/3, 5/17]"
12a513,"[1/3, 3/5, 7/5]"
12a515,"[2/3, 2/3, 13/5]"
12a516,"[2/3, 3/5, 8/5]"
12a524,"[2/3, 1/3, 12/7]"
12a525,"[2/3, 2/3, 9/5]"
12a529,"[2/3, 1/3, 8/13]"
12a531,"[1/3, 3/4, 5/7]"
12a542,"[1/3, 1/3, 5/13]"
12a544,"[1/2, 1/3, 12/17]"
12a548,"[1/3, 1/4, 5/7]"
12a554,"[2/3, 2/3, 2/3, 1/3]"
12a557,"[1/3, 2/5, 2/7]"
12a560,"[1/3, 3/5, 5/7]"
12a561,"[3/5, 3/5, 3/5]"
12a562,"[2/3, 1/3, 8/11]"
12a563,"[2/3, 1/3, 4/9]"
